STATEFP,COUNTYFP,GEOID,city_x,ALAND,AWATER,SNI_raw,SNI_Score,point_count_311,311_score_raw,311_score_log,311_score_sqrt,311_score_yj,ES_raw,ES_log,ES_sqrt,ES_yj,Raw_status,Log_status,SQRT_status,YJ_status,Raw_score,Log_score,SQRT_score,YJ_score,TRACTCE_y,NAME_y,population,median_hh_income,median_home_value,median_gross_rent,median_year_built,land_area_sqmi,pop_density_sqmi,pct_indv_poverty,unemployment_rate,pct_vacant,pct_renter,pct_no_vehicle,pct_no_internet,pct_smartphone_only,pct_limited_english_pop,pct_foreign_born,pct_under_18,pct_65_plus,pct_bachelors_plus,pct_non_white,pct_white_nh,pct_black_nh,pct_hispanic,pct_asian_nh,pct_aian_nh,pct_nhpi_nh,pct_other_nh,pct_two_plus_nh
6,37,06037104500,los_angeles,531002,0,41.64365729,28.09536711,3571.0,10.66,64.32,29.82,26.9,-17.43536711,36.22463289,1.724632891,-1.195367109,negative,positive,positive,negative,1.0,0.0,0.0,1.0,104500,1045.0,3472.0,75536.0,597900.0,2853.0,1947,0.2050210184169532,16934.85,0.337,0.063471,0.009023,0.283763,0.036419,0.022762,0.113809,0.366,0.384217,0.324,0.107,0.063,0.986463,0.013537,0.00144,0.97523,0.007776,0.0,0.0,0.002016,0.0
6,37,06037104610,los_angeles,592138,0,50.11931724,51.12435654,4959.0,14.88,69.59,35.97,32.91,-36.24435654,18.46564346,-15.15435654,-18.21435654,negative,positive,negative,negative,1.0,0.0,1.0,1.0,104610,1046.1,3112.0,88171.0,660200.0,2122.0,1959,0.2286257599846665,13611.76,0.099,0.031474,0.039548,0.472059,0.157353,0.164706,0.211765,0.419,0.431234,0.266,0.131,0.057,0.981684,0.018316,0.0,0.970116,0.004499,0.0,0.0,0.0,0.007069
6,37,06037104620,los_angeles,531171,0,32.64483015,10.11920889,4420.0,13.24,67.75,33.7,30.68,3.120791114,57.63079111,23.58079111,20.56079111,positive,positive,positive,positive,0.0,0.0,0.0,0.0,104620,1046.2,3198.0,91875.0,652200.0,1739.0,1953,0.2050862696817554,15593.44,0.19,0.056592,0.014124,0.313754,0.04298,0.051576,0.103152,0.309,0.306442,0.29,0.119,0.11,0.966854,0.033146,0.003752,0.954034,0.001876,0.0,0.0,0.0,0.007192
6,37,06037104701,los_angeles,550504,0,49.61127297,49.72907071,2199.0,6.49,56.54,22.41,19.79,-43.23907071,6.810929287,-27.31907071,-29.93907071,negative,positive,negative,negative,1.0,0.0,1.0,1.0,104701,1047.01,4175.0,51000.0,613200.0,1354.0,1955,0.2125507827138249,19642.36,0.335,0.10334,0.012369,0.780347,0.106936,0.156069,0.117534,0.29,0.32,0.304,0.097,0.078,0.997365,0.002635,0.013174,0.984192,0.0,0.0,0.0,0.0,0.0
6,37,06037104703,los_angeles,1168239,0,62.46851954,81.49552967,1864.0,5.47,53.89,20.27,17.78,-76.02552967,-27.60552967,-61.22552967,-63.71552967,negative,negative,negative,negative,1.0,1.0,1.0,1.0,104703,1047.03,2493.0,,519600.0,2019.0,1975,0.4510595996519845,5526.99,0.185,0.103163,0.040909,0.597156,0.090047,0.022117,0.116904,0.363,0.486562,0.218,0.095,0.077,0.942639,0.057361,0.048937,0.876454,0.011231,0.0,0.0,0.0,0.006017
6,37,06037104704,los_angeles,1663127,0,52.54630809,58.10078569,3210.0,9.56,62.61,28.04,25.17,-48.54078569,4.509214305,-30.06078569,-32.93078569,negative,positive,negative,negative,1.0,0.0,1.0,1.0,104704,1047.04,4570.0,79340.0,379800.0,2295.0,1986,0.642136924713527,7116.86,0.237,0.044672,0.041699,0.333602,0.027397,0.02498,0.10556,0.36,0.483589,0.249,0.098,0.133,0.923195,0.076805,0.060832,0.813348,0.028884,0.000656,0.0,0.0,0.019475
6,37,06037104821,los_angeles,531802,0,37.29148267,18.39609862,3345.0,9.97,63.27,28.72,25.82,-8.426098618,44.87390138,10.32390138,7.423901382,negative,positive,positive,positive,1.0,0.0,0.0,0.0,104821,1048.21,3194.0,73214.0,763400.0,1746.0,1964,0.2053299001438273,15555.45,0.166,0.09883,0.01292,0.539267,0.13089,0.031414,0.115183,0.361,0.452411,0.23,0.141,0.093,0.966187,0.033813,0.0,0.937383,0.012837,0.00814,0.0,0.0,0.007827
6,37,06037104822,los_angeles,604352,0,53.14968718,59.98374424,2225.0,6.57,56.73,22.57,19.95,-53.41374424,-3.253744243,-37.41374424,-40.03374424,negative,negative,negative,negative,1.0,1.0,1.0,1.0,104822,1048.22,2171.0,51429.0,718800.0,1635.0,1977,0.2333416117497157,9303.96,0.226,0.10562,0.004622,0.685759,0.263158,0.074303,0.153251,0.431,0.478121,0.265,0.148,0.071,0.97789,0.02211,0.0,0.930907,0.043759,0.0,0.0,0.0,0.003224
6,37,06037104823,los_angeles,531333,0,29.37757754,6.068816039,2438.0,7.22,58.2,23.84,21.15,1.151183961,52.13118396,17.77118396,15.08118396,positive,positive,positive,positive,0.0,0.0,0.0,0.0,104823,1048.23,3235.0,83906.0,662400.0,2750.0,1958,0.2051488182314474,15769.04,0.246,0.052999,0.022284,0.233618,0.054131,0.031339,0.086895,0.313,0.393199,0.327,0.1,0.187,0.982071,0.017929,0.032767,0.814219,0.124884,0.0,0.0,0.005564,0.004637
6,37,06037104824,los_angeles,592028,0,53.03948344,59.59089678,2279.0,6.73,57.12,22.9,20.26,-52.86089678,-2.470896776,-36.69089678,-39.33089678,negative,negative,negative,negative,1.0,1.0,1.0,1.0,104824,1048.24,2576.0,115625.0,614800.0,1625.0,1957,0.2285832887472213,11269.42,0.136,0.072474,0.032854,0.269639,0.0,0.012739,0.110403,0.298,0.386646,0.246,0.097,0.056,1.0,0.0,0.0,0.981366,0.0,0.005435,0.013199,0.0,0.0
