GEOID,City,SR_point_count,311_SRI_score,SNI_score,ES_score
24510140300,baltimore,6025,68.52,86.48062856,-17.96062856
24510150100,baltimore,3359,47.28,67.89487944,-20.61487944
24510150200,baltimore,4332,55.77,74.61392577,-18.84392577
24510150300,baltimore,3336,47.07,60.28176646,-13.21176646
24510150400,baltimore,5345,63.65,88.28230832,-24.63230832
24510150500,baltimore,2396,37.55,98.45570306,-60.90570306
24510150600,baltimore,6076,68.88,70.84800867,-1.96800867
24510150701,baltimore,2236,35.76,32.05093471,3.709065294
24510150702,baltimore,3226,46.03,5.499864535,40.53013546
24510150800,baltimore,3626,49.72,35.0582498,14.6617502
24510150900,baltimore,4590,57.86,4.497426172,53.36257383
24510151000,baltimore,5288,63.23,73.34055811,-10.11055811
24510151100,baltimore,4941,60.61,73.31346519,-12.70346519
24510151200,baltimore,5717,66.35,59.50961799,6.84038201
24510151300,baltimore,5456,64.47,85.80330534,-21.33330534
24510160100,baltimore,3833,51.55,7.477648334,44.07235167
24510160200,baltimore,2733,41.15,6.339745326,34.81025467
24510160300,baltimore,2309,36.59,62.3950149,-25.8050149
24510160400,baltimore,6674,72.92,73.96369548,-1.043695475
24510160500,baltimore,5774,66.76,91.41154159,-24.65154159
24510160600,baltimore,6369,70.88,55.7030615,15.1769385
24510160700,baltimore,7704,79.49,54.83608778,24.65391222
24510160801,baltimore,3315,46.87,13.14007044,33.72992956
24510160802,baltimore,4576,57.75,20.78027635,36.96972365
24510170100,baltimore,1819,30.75,91.9398537,-61.1898537
24510170200,baltimore,1556,27.29,91.28962341,-63.99962341
24510170300,baltimore,2072,33.85,8.195610946,25.65438905
24510180300,baltimore,3725,50.61,81.44134381,-30.83134381
24510190100,baltimore,3356,47.26,40.19235979,7.067640206
24510190200,baltimore,3943,52.51,66.20157139,-13.69157139
24510190300,baltimore,5873,67.46,80.75047413,-13.29047413
24510200100,baltimore,4008,53.06,46.95204552,6.107954484
24510200200,baltimore,5355,63.72,89.29829315,-25.57829315
24510200300,baltimore,5600,65.51,80.84529938,-15.33529938
24510200400,baltimore,4275,55.3,50.96179897,4.33820103
24510200500,baltimore,8335,83.29,98.29314549,-15.00314549
24510200600,baltimore,4079,53.67,85.64074776,-31.97074776
24510200701,baltimore,5797,66.92,22.09428339,44.82571661
24510200702,baltimore,1771,30.14,15.70035221,14.43964779
24510200800,baltimore,3867,51.85,78.14955297,-26.29955297
24510210100,baltimore,6216,69.84,99.90517475,-30.06517475
24510210200,baltimore,9075,87.58,99.37686264,-11.79686264
24510220100,baltimore,4440,56.65,98.04930913,-41.39930913
24510230100,baltimore,2517,38.87,91.19479816,-52.32479816
24510230200,baltimore,2743,41.25,95.15036575,-53.90036575
24510230300,baltimore,2445,38.09,80.10024384,-42.01024384
24510240100,baltimore,2626,40.03,92.8881062,-52.8581062
24510240200,baltimore,2010,33.11,57.20671905,-24.09671905
24510240300,baltimore,1879,31.5,74.23462476,-42.73462476
