city,code,code_type,full_name,standard_category
boston,IMP,overlay_not_base,Institutional Master Plan District,institutional
boston,IOD,overlay_not_base,Institutional Overlay District,institutional
boston,NI,legacy_code_flat,Neighborhood Institutional Subdistrict,institutional
boston,CF,legacy_code_flat,Community Facility District,institutional
boston,M-1,legacy_code_flat,Light Manufacturing District,industrial
boston,M-2,legacy_code_flat,Light Manufacturing District,industrial
boston,M-3,legacy_code_flat,Light Manufacturing District,industrial
boston,M-4,legacy_code_flat,Light Manufacturing District,industrial
boston,I-2,legacy_code_flat,General Manufacturing District,industrial
boston,W-2,legacy_code_flat,Waterfront Industry District,industrial
detroit,R1,current_code_flat,Single-Family Residential District,residential
detroit,R2,current_code_flat,Two-Family Residential District,residential
detroit,R3,current_code_flat,Low Density Residential District,residential
detroit,R4,current_code_flat,Thoroughfare Residential District,residential
detroit,R5,current_code_flat,Medium Density Residential District,residential
detroit,R6,current_code_flat,High Density Residential District,residential
detroit,B1,current_code_flat,Restricted Business District,commercial
detroit,B2,current_code_flat,Local Business and Residential District,mixed-use
detroit,B3,current_code_flat,Shopping District,commercial
detroit,B4,current_code_flat,General Business District,commercial
detroit,B5,current_code_flat,Major Business District,commercial
detroit,B6,current_code_flat,General Services District,commercial
detroit,M1,current_code_flat,Limited Industrial District,industrial
detroit,M2,current_code_flat,Restricted Industrial District,industrial
detroit,M3,current_code_flat,General Industrial District,industrial
detroit,M4,current_code_flat,Intensive Industrial District,industrial
detroit,M5,current_code_flat,Special Industrial District,industrial
detroit,P1,current_code_flat,Open Parking District,other
detroit,PC,current_code_flat,Public Center District,institutional
detroit,PCA,current_code_flat,Restricted Central Business District,commercial
detroit,PR,current_code_flat,Parks and Recreation District,open_space
detroit,SD1,current_code_flat,Special District - Small Scale Mixed Use,mixed-use
detroit,SD2,current_code_flat,Special District - Mixed Use,mixed-use
detroit,SD4,current_code_flat,Special District - Riverfront Mixed Use,mixed-use
detroit,SD5,current_code_flat,Special District - Casinos,commercial
detroit,TM,current_code_flat,Transitional Industrial District,industrial
detroit,W1,current_code_flat,Waterfront Industrial District,industrial
miami,T1,current_code_flat,Natural Transect Zone,open_space
miami,T3,current_code_segment,Sub-Urban Transect Zone,residential
miami,T5,current_code_segment,Urban Center Transect Zone,mixed-use
miami,T6,current_code_segment,Urban Core Transect Zone,mixed-use
miami,CS,current_code_flat,Civic Space Zone,open_space
miami,CI,current_code_flat,Civic Institution Zone,institutional
miami,CI-HD,current_code_flat,Civic Institution - Health District Zone,institutional
miami,D1,current_code_flat,District Zone - Work Place,commercial
miami,D2,current_code_flat,District Zone - Industrial,industrial
miami,D3,current_code_flat,Waterfront Industrial District Zone,industrial
minneapolis,UN1,current_code_flat,Urban Neighborhood District,residential
minneapolis,UN2,current_code_flat,Urban Neighborhood District,residential
minneapolis,UN3,current_code_flat,Urban Neighborhood District,residential
minneapolis,RM1,current_code_flat,Residential Mixed-Use District - Goods and Services,mixed-use
minneapolis,RM2,current_code_flat,Residential Mixed-Use District - Neighborhood Office and Services,mixed-use
minneapolis,RM3,current_code_flat,Residential Mixed-Use District - Residence and Major Institutional,mixed-use
minneapolis,CM1,current_code_flat,Commercial Mixed-Use District - Neighborhood,mixed-use
minneapolis,CM2,current_code_flat,Commercial Mixed-Use District - Corridor,mixed-use
minneapolis,CM3,current_code_flat,Commercial Mixed-Use District - Community,mixed-use
minneapolis,CM4,current_code_flat,Commercial Mixed-Use District - Destination,mixed-use
minneapolis,DT1,current_code_flat,Downtown Center District,mixed-use
minneapolis,DT2,current_code_flat,Downtown Destination District,mixed-use
minneapolis,PR2,current_code_flat,Production and Processing District,industrial
minneapolis,TR1,current_code_flat,Transportation District,industrial
new_orleans,OS-N,current_code_flat,Neighborhood Open Space District,open_space
new_orleans,OS-G,current_code_flat,Greenway Open Space District,open_space
new_orleans,OS-R,current_code_flat,Regional Open Space District,open_space
new_orleans,NA,current_code_flat,Natural Areas District,open_space
new_orleans,OS-CBD,current_code_flat,Central Business Open Space District,open_space
new_orleans,OS-AR,current_code_flat,Armstrong Regional Park District,open_space
new_orleans,R-RE,current_code_flat,Rural Residential Estate District,residential
new_orleans,M-MU,current_code_flat,Maritime Mixed-Use District,mixed-use
new_orleans,VCR-1,current_code_flat,Vieux Carre Residential District,residential
new_orleans,VCR-2,current_code_flat,Vieux Carre Residential District,residential
new_orleans,HMR-1,current_code_flat,Historic Marigny/Treme/Bywater Residential District,residential
new_orleans,HMR-2,current_code_flat,Historic Marigny/Treme/Bywater Residential District,residential
new_orleans,HMR-3,current_code_flat,Historic Marigny/Treme/Bywater Residential District,residential
new_orleans,VCC-1,current_code_flat,Vieux Carre Commercial District,commercial
new_orleans,VCC-2,current_code_flat,Vieux Carre Commercial District,commercial
new_orleans,VCE,current_code_flat,Vieux Carre Entertainment District,commercial
new_orleans,VCE-1,current_code_flat,Vieux Carre Entertainment District,commercial
new_orleans,VCS,current_code_flat,Vieux Carre Service District,commercial
new_orleans,VCS-1,current_code_flat,Vieux Carre Service District,commercial
new_orleans,HMC-1,current_code_flat,Historic Marigny/Treme/Bywater Commercial District,commercial
new_orleans,HMC-2,current_code_flat,Historic Marigny/Treme/Bywater Commercial District,commercial
new_orleans,HM-MU,current_code_flat,Historic Marigny/Treme/Bywater Mixed-Use District,mixed-use
new_orleans,VCP,current_code_flat,Vieux Carre Park District,open_space
new_orleans,HU-RS,current_code_flat,Historic Urban Neighborhoods Single-Family Residential District,residential
new_orleans,HU-RD1,current_code_flat,Historic Urban Neighborhoods Two-Family Residential District,residential
new_orleans,HU-RD2,current_code_flat,Historic Urban Neighborhoods Two-Family Residential District,residential
new_orleans,HU-RM1,current_code_flat,Historic Urban Neighborhoods Multi-Family Residential District,residential
new_orleans,HU-RM2,current_code_flat,Historic Urban Neighborhoods Multi-Family Residential District,residential
new_orleans,HU-B1A,current_code_flat,Historic Urban Neighborhoods Neighborhood Business District,commercial
new_orleans,HU-B1,current_code_flat,Historic Urban Neighborhoods Neighborhood Business District,commercial
new_orleans,HU-MU,current_code_flat,Historic Urban Neighborhoods Neighborhood Mixed-Use District,mixed-use
new_orleans,S-RS,current_code_flat,Suburban Single-Family Residential District,residential
new_orleans,S-RD,current_code_flat,Suburban Two-Family Residential District,residential
new_orleans,S-RM1,current_code_flat,Suburban Multi-Family Residential District,residential
new_orleans,S-RM2,current_code_flat,Suburban Multi-Family Residential District,residential
new_orleans,S-LRS1,current_code_flat,Lakeview Single-Family Residential District,residential
new_orleans,S-LRS2,current_code_flat,Lake Vista and Lake Shore Single-Family Residential District,residential
new_orleans,S-LRS3,current_code_flat,Lakewood and Country Club Gardens Single-Family Residential District,residential
new_orleans,S-LRD1,current_code_flat,Lake Vista Two-Family Residential District,residential
new_orleans,S-LRD2,current_code_flat,Lakewood/Parkview Two-Family Residential District,residential
new_orleans,S-LRM1,current_code_flat,Lake Area Low-Rise Multi-Family Residential District,residential
new_orleans,S-LRM2,current_code_flat,Lake Area High-Rise Multi-Family Residential District,residential
new_orleans,S-B1,current_code_flat,Suburban Business District,commercial
new_orleans,S-B2,current_code_flat,Pedestrian-Oriented Corridor Business District,commercial
new_orleans,S-LB1,current_code_flat,Lake Area Neighborhood Business District,commercial
new_orleans,S-LB2,current_code_flat,Lake Area Neighborhood Business District,commercial
new_orleans,S-LC,current_code_flat,Lake Area General Commercial District,commercial
new_orleans,S-LP,current_code_flat,Lake Area Neighborhood Park District,open_space
new_orleans,S-MU,current_code_flat,Suburban Neighborhood Mixed-Use District,mixed-use
new_orleans,C-1,current_code_flat,General Commercial District,commercial
new_orleans,C-2,current_code_flat,Auto-Oriented Commercial District,commercial
new_orleans,C-3,current_code_flat,Heavy Commercial District,commercial
new_orleans,MU-1,current_code_flat,Medium Intensity Mixed-Use District,mixed-use
new_orleans,MU-2,current_code_flat,High Intensity Mixed-Use District,mixed-use
new_orleans,EC,current_code_flat,Educational Campus District,institutional
new_orleans,MC,current_code_flat,Medical Campus District,institutional
new_orleans,LI,current_code_flat,Light Industrial District,industrial
new_orleans,HI,current_code_flat,Heavy Industrial District,industrial
new_orleans,MI,current_code_flat,Maritime Industrial District,industrial
new_orleans,BIP,current_code_flat,Business-Industrial Park District,industrial
new_orleans,CBD-1,current_code_flat,Core Central Business District,commercial
new_orleans,CBD-2,current_code_flat,Historic Commercial and Mixed-Use District,mixed-use
new_orleans,CBD-4,current_code_flat,Exposition District,institutional
new_orleans,CBD-5,current_code_flat,Urban Core Neighborhood Lower Intensity Mixed-Use District,mixed-use
new_orleans,CBD-6,current_code_flat,Urban Core Neighborhood Mixed-Use District,mixed-use
austin,LA,current_code_flat,Lake Austin Residence District,residential
austin,RR,current_code_flat,Rural Residence District,residential
austin,SF-1,current_code_flat,Single-Family Residence Large Lot District,residential
austin,SF-2,current_code_flat,Single-Family Residence Standard Lot District,residential
austin,SF-3,current_code_flat,Family Residence District,residential
austin,SF-4A,current_code_flat,Single-Family Residence Small Lot District,residential
austin,SF-4B,current_code_flat,Single-Family Residence Condominium Site District,residential
austin,SF-5,current_code_flat,Urban Family Residence District,residential
austin,SF-6,current_code_flat,Townhouse and Condominium Residence District,residential
austin,MH,current_code_flat,Mobile Home Residence District,residential
austin,MF-1,current_code_flat,Multifamily Residence Limited Density District,residential
austin,MF-2,current_code_flat,Multifamily Residence Low Density District,residential
austin,MF-3,current_code_flat,Multifamily Residence Medium Density District,residential
austin,MF-4,current_code_flat,Multifamily Residence Moderate-High Density District,residential
austin,MF-5,current_code_flat,Multifamily Residence High Density District,residential
austin,MF-6,current_code_flat,Multifamily Residence Highest Density District,residential
austin,NO,current_code_flat,Neighborhood Office District,commercial
austin,LO,current_code_flat,Limited Office District,commercial
austin,GO,current_code_flat,General Office District,commercial
austin,CR,current_code_flat,Commercial Recreation District,commercial
austin,LR,current_code_flat,Neighborhood Commercial District,commercial
austin,GR,current_code_flat,Community Commercial District,commercial
austin,L,current_code_flat,Lake Commercial District,commercial
austin,CBD,current_code_flat,Central Business District,commercial
austin,DMU,current_code_flat,Downtown Mixed Use District,mixed-use
austin,CS,current_code_flat,General Commercial Services District,commercial
austin,CS-1,current_code_flat,Commercial-Liquor Sales District,commercial
austin,CH,current_code_flat,Commercial Highway Services District,commercial
austin,IP,current_code_flat,Industrial Park District,industrial
austin,MI,current_code_flat,Major Industry District,industrial
austin,LI,current_code_flat,Limited Industrial Service District,industrial
